pokedex_number,name,hp,attack,defense,sp_attack,sp_defense,speed,height,weight,flavor_text
226,Mantine,85,40,70,80,140,70,2.1,220.0,"As it majestically swims, it doesn't care if REMORAID attach to it for scavenging its leftovers."
227,Skarmory,65,80,140,40,70,70,1.7,50.5,"Its sturdy wings look heavy, but they are actually hollow and light, allowing it to fly freely in the sky."
228,Houndour,45,60,30,80,50,65,0.6,10.8,It uses different kinds of cries for communicating with others of its kind and for pursuing its prey.
229,Houndoom,75,90,50,110,80,95,1.4,35.0,"If you are burned by the flames it shoots from its mouth, the pain will never go away."
230,Kingdra,75,95,95,95,95,85,1.8,152.0,It is said that it usually hides in underwater caves. It can create whirlpools by yawning.
231,Phanpy,90,60,60,40,40,40,0.5,33.5,"It swings its long snout around play­ fully, but because it is so strong, that can be dan­ gerous."
232,Donphan,90,120,120,60,60,50,1.1,120.0,"It has sharp, hard tusks and a rugged hide. Its TACKLE is strong enough to knock down a house."
233,Porygon2,85,80,90,105,95,60,0.6,32.5,"This upgraded version of PORYGON is designed for space exploration. It can't fly, though."
234,Stantler,73,95,62,85,65,85,1.4,71.2,The curved antlers subtly change the flow of air to create a strange space where real­ ity is distorted.
235,Smeargle,55,20,35,20,45,75,1.2,58.0,A special fluid oozes from the tip of its tail. It paints the fluid everywhere to mark its territory.
236,Tyrogue,35,35,35,35,35,35,0.7,21.0,"It is always bursting with en­ ergy. To make it­ self stronger, it keeps on fighting even if it loses."
237,Hitmontop,50,95,95,35,110,70,1.4,48.0,"If you become enchanted by its smooth, elegant, dance-like kicks, you may get drilled hard."
238,Smoochum,45,30,15,85,65,65,0.4,6.0,Its lips are the most sensitive parts on its body. It always uses its lips first to examine things.
239,Elekid,45,63,37,65,55,95,0.6,23.5,"It rotates its arms to generate electricity, but it tires easily, so it charges up only a little bit."
240,Magby,45,75,37,70,55,83,0.7,21.4,"Each and every time it inhales and exhales, hot embers dribble out of its mouth and nostrils."
241,Miltank,95,80,105,40,70,100,1.2,75.5,"Its milk is packed with nutrition, making it the ultimate beverage for the sick or weary."
242,Blissey,255,10,10,75,135,55,1.5,46.8,Anyone who takes even one bite of BLISSEY's egg be­ comes unfailingly caring and pleas­ ant to everyone.
243,Raikou,90,85,75,115,100,115,1.9,178.0,The rain clouds it carries let it fire thunderbolts at will. They say that it descended with lightning.
244,Entei,115,115,85,90,75,100,2.1,198.0,"Volcanoes erupt when it barks. Un­ able to restrain its extreme power, it races headlong around the land."
245,Suicune,100,75,115,90,115,85,2.0,187.0,It races around the world to purify fouled water. It dashes away with the north wind.
246,Larvitar,50,64,50,45,50,41,0.6,72.0,"It feeds on soil. After it has eaten a large mountain, it will fall asleep so it can grow."
247,Pupitar,70,84,70,65,70,51,1.2,152.0,"Its shell is as hard as sheet rock, and it is also very strong. Its THRASHING can topple a mountain."
248,Tyranitar,100,134,110,95,100,61,2.0,202.0,"Its body can't be harmed by any sort of attack, so it is very eager to make challenges against enemies."
249,Lugia,106,90,130,90,154,110,5.2,216.0,It is said that it quietly spends its time deep at the bottom of the sea because its powers are too strong.
250,Ho Oh,106,130,90,110,154,90,3.8,199.0,Legends claim this POKéMON flies the world's skies con­ tinuously on its magnificent seven- colored wings.
251,Celebi,100,100,100,100,100,100,0.6,5.0,This POKéMON wan­ ders across time. Grass and trees flourish in the forests in which it has appeared.
252,Treecko,40,45,35,65,55,70,0.5,5.0,TREECKO has small hooks on the bottom of its feet that enable it to scale vertical walls. This POKéMON attacks by slamming foes with its thick tail.
253,Grovyle,50,65,45,85,65,95,0.9,21.6,The leaves growing out of GROVYLE’s body are convenient for camouflaging it from enemies in the forest. This POKéMON is a master at climbing trees in jungles.
254,Sceptile,70,85,65,105,85,120,1.7,52.2,The leaves growing on SCEPTILE’s body are very sharp edged. This POKéMON is very agile - it leaps all over the branches of trees and jumps on its foe from above or behind.
255,Torchic,45,60,40,70,50,45,0.4,2.5,"TORCHIC sticks with its TRAINER, following behind with unsteady steps. This POKéMON breathes fire of over 1,800 degrees F, including fireballs that leave the foe scorched black."
256,Combusken,60,85,60,85,60,55,0.9,19.5,"COMBUSKEN toughens up its legs and thighs by running through fields and mountains. This POKéMON’s legs possess both speed and power, enabling it to dole out ten kicks in one second."
257,Blaziken,80,120,70,110,70,80,1.9,52.0,"In battle, BLAZIKEN blows out intense flames from its wrists and attacks foes courageously. The stronger the foe, the more intensely this POKéMON’s wrists burn."
258,Mudkip,50,70,50,50,50,40,0.4,7.6,"The fin on MUDKIP’s head acts as highly sensitive radar. Using this fin to sense movements of water and air, this POKéMON can determine what is taking place around it without using its eyes."
259,Marshtomp,70,85,70,60,70,50,0.7,28.0,"The surface of MARSHTOMP’s body is enveloped by a thin, sticky film that enables it to live on land. This POKéMON plays in mud on beaches when the ocean tide is low."
260,Swampert,100,110,90,85,90,60,1.5,81.9,SWAMPERT is very strong. It has enough power to easily drag a boulder weighing more than a ton. This POKéMON also has powerful vision that lets it see even in murky water.
261,Poochyena,35,55,35,30,30,35,0.5,13.6,"At first sight, POOCHYENA takes a bite at anything that moves. This POKéMON chases after prey until the victim becomes exhausted. However, it may turn tail if the prey strikes back."
262,Mightyena,70,90,70,60,60,70,1.0,37.0,MIGHTYENA gives obvious signals when it is preparing to attack. It starts to growl deeply and then flattens its body. This POKéMON will bite savagely with its sharply pointed fangs.
263,Zigzagoon,38,30,41,30,41,60,0.4,17.5,ZIGZAGOON restlessly wanders everywhere at all times. This POKéMON does so because it is very curious. It becomes interested in anything that it happens to see.
264,Linoone,78,70,61,50,61,100,0.5,32.5,"LINOONE always runs full speed and only in straight lines. If facing an obstacle, it makes a right-angle turn to evade it. This POKéMON is very challenged by gently curving roads."
265,Wurmple,45,45,35,20,30,20,0.3,3.6,"Using the spikes on its rear end,   WURMPLE peels the bark off trees and feeds on the sap that oozes out. This POKéMON’s feet are tipped with suction pads that allow it to cling to glass without slipping."
266,Silcoon,50,35,55,25,25,15,0.6,10.0,"SILCOON tethers itself to a tree branch using silk to keep from falling. There,  this POKéMON hangs quietly while it awaits evolution. It peers out of the silk cocoon through a small hole."
267,Beautifly,60,70,50,100,50,65,1.0,28.4,"BEAUTIFLY’s favorite food is the sweet pollen of flowers. If you want to see this POKéMON, just leave a potted flower by an open window. BEAUTIFLY is sure to come looking for pollen."
268,Cascoon,50,35,55,25,25,15,0.7,11.5,"CASCOON makes its protective cocoon by wrapping its body entirely with a fine silk from its mouth. Once the silk goes around its body, it hardens. This POKéMON prepares for its evolution inside the cocoon."
269,Dustox,60,50,70,50,90,65,1.2,31.6,"DUSTOX is instinctively drawn to light. Swarms of this POKéMON are attracted by the bright lights of cities, where they wreak havoc by stripping the leaves off roadside trees for food."
270,Lotad,40,30,30,40,50,30,0.5,2.6,"It searches about for clean water. If it does not drink water for too long, the leaf on its head wilts."
271,Lombre,60,50,50,60,70,50,1.2,32.5,It lives at the water’s edge where it is sunny. It sleeps on a bed of water grass by day and becomes active at night.
272,Ludicolo,80,70,70,90,100,70,1.5,55.0,"LUDICOLO begins dancing as soon as it hears cheerful, festive music. This POKéMON is said to appear when it hears the singing of children on hiking outings."
273,Seedot,40,40,50,30,30,30,0.5,4.0,"SEEDOT attaches itself to a tree branch using the top of its head. It sucks moisture from the tree while hanging off the branch. The more water it drinks, the glossier this POKéMON’s body becomes."
274,Nuzleaf,70,70,40,60,40,60,1.0,28.0,NUZLEAF live in densely overgrown forests. They occasionally venture out of the forest to startle people. This POKéMON dislikes having its long nose pinched.
275,Shiftry,90,100,60,90,60,80,1.3,59.6,It lives quietly in the deep forest. It is said to create chilly winter winds with the fans it holds.
276,Taillow,40,55,30,30,30,85,0.3,2.3,"TAILLOW courageously stands its ground against foes, however strong they may be. This gutsy POKéMON will remain defiant even after a loss. On the other hand, it cries loudly if it becomes hungry."
277,Swellow,60,85,60,75,50,125,0.7,19.8,"SWELLOW flies high above our heads, making graceful arcs in the sky. This POKéMON dives at a steep angle as soon as it spots its prey. The hapless prey is tightly grasped by SWELLOW’s clawed feet, preventing escape."
278,Wingull,40,30,30,55,30,85,0.6,9.5,WINGULL has the habit of carrying prey and valuables in its beak and hiding them in all sorts of locations. This POKéMON rides the winds and flies as if it were skating across the sky.
279,Pelipper,60,50,100,95,70,65,1.2,28.0,"It is a messenger of the skies, carrying small Pokémon and eggs to safety in its bill."
280,Ralts,28,25,25,45,35,40,0.4,6.6,"RALTS senses the emotions of people using the horns on its head. This POKéMON rarely appears before people. But when it does, it draws closer if it senses that the person has a positive disposition."
281,Kirlia,38,35,35,65,55,50,0.8,20.2,It is said that a KIRLIA that is exposed to the positive emotions of its TRAINER grows beautiful. This POKéMON controls psychokinetic powers with its highly developed brain.
282,Gardevoir,68,65,65,125,115,80,1.6,48.4,"GARDEVOIR has the ability to read the future. If it senses impending danger to its TRAINER, this POKéMON is said to unleash its psychokinetic energy at full power."
283,Surskit,40,30,32,50,52,65,0.5,1.7,"From the tips of its feet, SURSKIT secretes an oil that enables it to walk on water as if it were skating. This POKéMON feeds on microscopic organisms in ponds and lakes."
284,Masquerain,70,60,62,100,82,80,0.8,3.6,MASQUERAIN intimidates enemies with the eyelike patterns on its antennas. This POKéMON flaps its four wings to freely fly in any direction - even sideways and backwards - as if it were a helicopter.
285,Shroomish,60,40,60,40,60,35,0.4,4.5,"SHROOMISH live in damp soil in the dark depths of forests. They are often found keeping still under fallen leaves. This POKéMON feeds on compost that is made up of fallen, rotted leaves."
286,Breloom,60,130,80,60,60,70,1.2,39.2,"BRELOOM closes in on its foe with light and sprightly footwork, then throws punches with its stretchy arms. This POKéMON’s fighting technique puts boxers to shame."
287,Slakoth,60,60,60,35,35,30,0.8,24.0,"SLAKOTH lolls around for over twenty hours every day. Because it moves so little, it does not need much food. This POKéMON’s sole daily meal consists of just three leaves."
288,Vigoroth,80,80,80,55,55,90,1.4,46.5,VIGOROTH is always itching and agitated to go on a wild rampage. It simply can’t tolerate sitting still for even a minute. This POKéMON’s stress level rises if it can’t be moving constantly.
289,Slaking,150,160,100,95,65,100,2.0,130.5,"SLAKING spends all day lying down and lolling about. It eats grass growing within its reach. If it eats all the grass it can reach, this POKéMON reluctantly moves to another spot."
290,Nincada,31,45,90,30,30,40,0.5,5.5,NINCADA lives underground for many years in complete darkness. This POKéMON absorbs nutrients from the roots of trees. It stays motionless as it waits for evolution.
291,Ninjask,61,90,45,50,50,160,0.8,12.0,"NINJASK moves around at such a high speed that it cannot be seen, even while its crying can be clearly heard. For that reason, this POKéMON was long believed to be invisible."
292,Shedinja,1,90,45,30,30,40,0.8,1.2,"SHEDINJA’s hard body doesn’t move - not even a twitch. In fact, its body appears to be merely a hollow shell. It is believed that this POKéMON will steal the spirit of anyone peering into its hollow body from its back."
293,Whismur,64,51,23,51,23,28,0.6,16.3,"Normally, WHISMUR’s voice is very quiet - it is barely audible even if one is paying close attention. However, if this POKéMON senses danger, it starts crying at an earsplitting volume."
294,Loudred,84,71,43,71,43,48,1.0,40.5,LOUDRED’s bellowing can completely decimate a wood-frame house. It uses its voice to punish its foes. This POKéMON’s round ears serve as loudspeakers.
295,Exploud,104,91,63,91,73,68,1.5,84.0,"EXPLOUD triggers earthquakes with the tremors it creates by bellowing. If this POKéMON violently inhales from the ports on its body, it’s a sign that it is preparing to let loose a huge bellow."
296,Makuhita,72,60,30,20,30,25,1.0,86.4,"MAKUHITA is tenacious - it will keep getting up and attacking its foe however many times it is knocked down. Every time it gets back up, this POKéMON stores more energy in its body for evolving."
297,Hariyama,144,120,60,40,60,50,2.3,253.8,It has the habit of challenging others without hesitation to tests of strength. It’s been known to stand on train tracks and stop trains using forearm thrusts.
298,Azurill,50,20,40,20,40,20,0.2,2.0,A Pokémon that lives by water. It moves quickly on land by bouncing on its big tail.
299,Nosepass,30,45,135,45,90,30,1.0,97.0,"NOSEPASS’s magnetic nose is always pointed to the north. If two of these POKéMON meet, they cannot turn their faces to each other when they are close because their magnetic noses repel one another."
300,Skitty,50,45,45,35,35,50,0.6,11.0,SKITTY has the habit of becoming fascinated by moving objects and chasing them around. This POKéMON is known to chase after its own tail and become dizzy.
301,Delcatty,70,65,65,55,55,90,1.1,32.6,"DELCATTY prefers to live an unfettered existence in which it can do as it pleases at its own pace. Because this POKéMON eats and sleeps whenever it decides, its daily routines are completely random."
302,Sableye,50,75,75,65,65,50,0.5,11.0,"SABLEYE lead quiet lives deep inside caverns. They are feared, however, because these POKéMON are thought to steal the spirits of people when their eyes burn with a sinister glow in the darkness."
303,Mawile,50,85,85,55,55,50,0.6,11.5,"MAWHILE’s huge jaws are actually steel horns that have been transformed. Its docile-looking face serves to lull its foe into letting down its guard. When the foe least expects it, MAWHILE chomps it with its gaping jaws."
304,Aron,50,70,100,40,40,30,0.4,60.0,"This POKéMON has a body of steel. To make its body, ARON feeds on iron ore that it digs from mountains. Occasionally, it causes major trouble by eating bridges and rails."
305,Lairon,60,90,140,50,50,40,0.9,120.0,LAIRON tempers its steel body by drinking highly nutritious mineral springwater until it is bloated. This POKéMON makes its nest close to springs of delicious water.
306,Aggron,70,110,180,60,60,50,2.1,360.0,AGGRON claims an entire mountain as its own territory. It mercilessly beats up anything that violates its environment. This POKéMON vigilantly patrols its territory at all times.
307,Meditite,30,40,55,40,55,60,0.6,11.2,"MEDITITE undertakes rigorous mental training deep in the mountains. However, whenever it meditates, this POKéMON always loses its concentration and focus. As a result, its training never ends."
308,Medicham,60,60,75,60,75,80,1.3,31.5,"It is said that through meditation, MEDICHAM heightens energy inside its body and sharpens its sixth sense. This POKéMON hides its presence by merging itself with fields and mountains."
309,Electrike,40,45,40,65,40,65,0.6,15.2,ELECTRIKE stores electricity in its long body hair. This POKéMON stimulates its leg muscles with electric charges. These jolts of power give its legs explosive acceleration performance.
310,Manectric,70,75,60,105,60,105,1.5,40.2,"MANECTRIC is constantly discharging electricity from its mane. The sparks sometimes ignite forest fires. When it enters a battle, this POKéMON creates thunderclouds."
311,Plusle,60,50,40,85,75,95,0.4,4.2,"PLUSLE always acts as a cheerleader for its partners. Whenever a teammate puts out a good effort in battle, this POKéMON shorts out its body to create the crackling noises of sparks to show its joy."
312,Minun,60,40,50,75,85,95,0.4,4.2,MINUN is more concerned about cheering on its partners than its own safety. It shorts out the electricity in its body to create brilliant showers of sparks to cheer on its teammates.
313,Volbeat,65,73,75,47,85,85,0.7,17.7,"With the arrival of night, VOLBEAT emits light from its tail. It communicates with others by adjusting the intensity and flashing of its light. This POKéMON is attracted by the sweet aroma of ILLUMISE."
314,Illumise,65,47,75,73,85,85,0.6,17.7,"With its sweet aroma, it guides Volbeat to draw signs with light in the night sky."
315,Roselia,50,60,45,100,80,65,0.3,2.0,ROSELIA shoots sharp thorns as projectiles at any opponent that tries to steal the flowers on its arms. The aroma of this POKéMON brings serenity to living things.
316,Gulpin,70,43,53,43,53,40,0.4,10.3,"Virtually all of GULPIN’s body is its stomach. As a result, it can swallow something its own size. This POKéMON’s stomach contains a special fluid that digests anything."
317,Swalot,100,73,83,73,83,55,1.7,80.0,"When SWALOT spots prey, it spurts out a hideously toxic fluid from its pores and sprays the target. Once the prey has weakened, this POKéMON gulps it down whole with its cavernous mouth."
318,Carvanha,45,90,20,65,20,65,0.8,20.8,CARVANHA’s strongly developed jaws and its sharply pointed fangs pack the destructive power to rip out boat hulls. Many boats have been attacked and sunk by this POKéMON.
319,Sharpedo,70,120,40,95,40,95,1.8,88.8,"Nicknamed “the bully of the sea,” SHARPEDO is widely feared. Its cruel fangs grow back immediately if they snap off. Just one of these POKéMON can thoroughly tear apart a supertanker."
320,Wailmer,130,70,35,70,35,60,2.0,130.0,WAILMER’s nostrils are located above its eyes. This playful POKéMON loves to startle people by forcefully snorting out seawater it stores inside its body out of its nostrils.
321,Wailord,170,90,45,90,45,60,14.5,398.0,"WAILORD is the largest of all identified POKéMON up to now. This giant POKéMON swims languorously in the vast open sea, eating massive amounts of food at once with its enormous mouth."
322,Numel,60,60,40,65,45,35,0.7,24.0,"NUMEL is extremely dull witted - it doesn’t notice being hit. However, it can’t stand hunger for even a second. This POKéMON’s body is a seething cauldron of boiling magma."
323,Camerupt,70,100,70,105,75,40,1.9,220.0,"CAMERUPT has a volcano inside its body. Magma of 18,000 degrees F courses through its body. Occasionally, the humps on this POKéMON’s back erupt, spewing the superheated magma."
324,Torkoal,70,85,140,85,70,20,0.5,80.4,You can tell how it’s feeling by the smoke spouting from its shell. Tremendous velocity is a sign of good health.
325,Spoink,60,25,35,70,80,60,0.7,30.6,"SPOINK bounces around on its tail. The shock of its bouncing makes its heart pump. As a result, this POKéMON cannot afford to stop bouncing - if it stops, its heart will stop."
326,Grumpig,80,45,65,90,110,80,0.9,71.5,"GRUMPIG uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this POKéMON uses its special power, its snorting breath grows labored."
327,Spinda,60,60,60,60,60,60,1.1,5.0,No two Spinda have the same pattern of spots. Its tottering step fouls the aim of foes.
328,Trapinch,45,100,45,45,45,10,0.7,15.0,"TRAPINCH’s nest is a sloped, bowl-like pit dug in sand. This POKéMON patiently waits for prey to tumble down the pit. Its giant jaws have enough strength to crush even boulders."
329,Vibrava,50,70,50,50,50,70,1.1,15.3,"To make prey faint, VIBRAVA generates ultrasonic waves by vigorously making its two wings vibrate. This POKéMON’s ultrasonic waves are so powerful, they can bring on headaches in people."
330,Flygon,80,100,80,80,80,100,2.0,82.0,"FLYGON is nicknamed “the elemental  spirit of the desert.” Because its flapping wings whip up a cloud of sand, this POKéMON is always enveloped in a sandstorm while flying."
331,Cacnea,50,85,40,85,40,35,0.4,51.3,"CACNEA lives in arid locations such as deserts. It releases a strong aroma from its flower to attract prey. When prey comes near, this POKéMON shoots sharp thorns from its body to bring the victim down."
332,Cacturne,70,115,60,115,60,55,1.3,77.4,"During the daytime, CACTURNE remains unmoving so that it does not lose any moisture to the harsh desert sun. This POKéMON becomes active at night when the temperature drops."
333,Swablu,45,40,60,40,75,50,0.4,1.2,SWABLU has light and fluffy wings that are like cottony clouds. This POKéMON is not frightened of people. It lands on the heads of people and sits there like a cotton-fluff hat.
334,Altaria,75,70,90,70,105,80,1.1,20.6,"ALTARIA dances and wheels through the sky among billowing, cotton-like clouds. By singing melodies in its crystal-clear voice, this POKéMON makes its listeners experience dreamy wonderment."
335,Zangoose,73,115,60,60,60,90,1.3,40.3,Memories of battling its arch-rival SEVIPER are etched into every cell of ZANGOOSE’s body. This POKéMON adroitly dodges attacks with incredible agility.
336,Seviper,73,100,60,100,60,65,2.7,52.5,SEVIPER shares a generations-long feud with ZANGOOSE. The scars on its body are evidence of vicious battles. This POKéMON attacks using its sword- edged tail.
337,Lunatone,90,55,65,95,85,70,1.0,168.0,"LUNATONE was discovered at a location where a meteorite fell. As a result, some people theorize that this POKéMON came from space. However, no one has been able to prove this theory so far."
338,Solrock,90,95,85,55,65,70,1.2,154.0,"Solar energy is the source of its power, so it is strong during the daytime. When it spins, its body shines."
339,Barboach,50,48,43,46,41,60,0.4,1.9,"BARBOACH’s sensitive whiskers serve as a superb radar system. This POKéMON hides in mud, leaving only its two whiskers exposed while it waits for prey to come along."
340,Whiscash,110,78,73,76,71,60,0.9,23.6,"WHISCASH is extremely territorial. Just one of these POKéMON will claim a large pond as its exclusive territory. If a foe approaches it, it thrashes about and triggers a massive earthquake."
341,Corphish,43,80,65,50,35,35,0.6,11.5,Its hardy vitality enables it to adapt to any environment. Its pincers will never release prey.
342,Crawdaunt,63,120,85,90,55,55,1.1,32.8,"CRAWDAUNT has an extremely violent nature that compels it to challenge other living things to battle. Other life-forms refuse to live in ponds inhabited by this POKéMON, making them desolate places."
343,Baltoy,40,40,55,40,70,55,0.5,21.5,BALTOY moves while spinning around on its one foot. Primitive wall paintings depicting this POKéMON living among people were discovered in some ancient ruins.
344,Claydol,60,70,105,70,120,75,1.5,108.0,CLAYDOL are said to be dolls of mud made by primitive humans and brought to life by exposure to a mysterious ray. This POKéMON moves about while levitating.
345,Lileep,66,41,77,61,87,23,1.0,23.8,LILEEP became extinct approximately a hundred million years ago. This ancient POKéMON attaches itself to a rock on the seafloor and catches approaching prey using tentacles  shaped like flower petals.
346,Cradily,86,81,97,81,107,43,1.5,60.4,CRADILY roams around the ocean floor in search of food. This POKéMON freely extends its tree trunk-like neck and captures unwary prey using its eight tentacles.
347,Anorith,45,95,50,40,50,75,0.7,12.5,ANORITH was regenerated from a prehistoric fossil. This primitive POKéMON once lived in warm seas. It grips its prey firmly between its two large claws.
348,Armaldo,75,125,100,70,80,45,1.5,68.2,ARMALDO’s tough armor makes all attacks bounce off. This POKéMON’s two enormous claws can be freely extended or contracted. They have the power to punch right through a steel slab.
349,Feebas,20,15,20,10,55,80,0.6,7.4,"FEEBAS’s fins are ragged and tattered from the start of its life. Because of its shoddy appearance, this POKéMON is largely ignored. It is capable of living in both the sea and in rivers."
350,Milotic,95,60,79,100,125,81,6.2,162.0,Its lovely scales are described as rainbow colored. They change color depending on the viewing angle.
351,Castform,70,70,70,70,70,70,0.3,0.8,CASTFORM’s appearance changes with the weather. This POKéMON gained the ability to use the vast power of nature to protect its tiny body.
352,Kecleon,60,90,70,60,120,40,1.0,22.0,It changes body color to blend in with its surroundings. It also changes color if it is happy or sad.
353,Shuppet,44,75,35,63,33,45,0.6,2.3,"SHUPPET is attracted by feelings of jealousy and vindictiveness. If someone develops strong feelings of vengeance, this POKéMON will appear in a swarm and line up beneath the eaves of that person’s home."
354,Banette,64,115,65,83,63,65,1.1,12.5,BANETTE generates energy for laying strong curses by sticking pins into its own body. This POKéMON was originally a pitiful plush doll that was thrown away.
355,Duskull,20,40,90,30,90,25,0.8,15.0,"DUSKULL can pass through any wall no matter how thick it may be. Once this POKéMON chooses a target, it will doggedly pursue the intended victim until the break of dawn."
356,Dusclops,40,70,130,60,130,25,1.6,30.6,"DUSCLOPS’s body is completely hollow - there is nothing at all inside. It is said that its body is like a black hole. This POKéMON will absorb anything into its body, but nothing will ever come back out."
357,Tropius,99,68,83,72,87,51,2.0,100.0,"The bunches of fruit around TROPIUS’s neck are very popular with children. This POKéMON loves fruit, and eats it continuously. Apparently, its love for fruit resulted in its own outgrowth of fruit."
358,Chimecho,75,50,80,95,90,65,0.6,1.0,"CHIMECHO makes its cries echo inside its hollow body. When this POKéMON becomes enraged, its cries result in ultrasonic waves that have the power to knock foes flying."
359,Absol,65,130,60,75,60,75,1.2,47.0,"Every time ABSOL appears before people, it is followed by a disaster such as an earthquake or a tidal wave. As a result, it came to be known as the disaster POKéMON."
360,Wynaut,95,23,48,23,48,23,0.6,14.0,"WYNAUT can always be seen with a big, happy smile on its face. Look at its tail to determine if it is angry. When angered, this POKéMON will be slapping the ground with its tail."
361,Snorunt,50,50,50,50,50,50,0.7,16.8,"SNORUNT live in regions with heavy snowfall. In seasons without snow, such as spring and summer, this POKéMON steals away to live quietly among stalactites and stalagmites deep in caverns."
362,Glalie,80,80,80,80,80,80,1.5,256.5,"GLALIE has a body made of rock, which it hardens with an armor of ice. This POKéMON has the ability to freeze moisture in the atmosphere into any shape it desires."
363,Spheal,70,40,50,55,50,25,0.8,39.5,"SPHEAL is much faster rolling than  walking to get around. When groups of this POKéMON eat, they all clap at once to show their pleasure. Because of this, their mealtimes are noisy."
364,Sealeo,90,60,70,75,70,45,1.1,87.6,SEALEO has the habit of always juggling on the tip of its nose anything it sees for the first time. This POKéMON occasionally entertains itself by balancing and rolling a SPHEAL on its nose.
365,Walrein,110,80,90,95,90,65,1.4,150.6,It swims through icy seas while shattering ice floes with its large tusks. It is protected by its thick blubber.
366,Clamperl,35,64,85,74,55,32,0.4,52.5,CLAMPERL’s sturdy shell is not only good for protection - it is also used for clamping and catching prey. A fully grown CLAMPERL’s shell will be scored with nicks and scratches all over.
367,Huntail,55,104,105,94,75,52,1.7,27.0,HUNTAIL’s presence went unnoticed by people for a long time because it lives at extreme depths in the sea. This POKéMON’s eyes can see clearly even in the murky dark depths of the ocean.
368,Gorebyss,55,84,105,114,75,52,1.8,22.6,"GOREBYSS lives in the southern seas at extreme depths. Its body is built to withstand the enormous pressure of water at incredible depths. Because of this, this POKéMON’s body is unharmed by ordinary attacks."
369,Relicanth,100,90,130,45,65,55,1.0,23.4,RELICANTH is a POKéMON species that existed for a hundred million years without ever changing its form. This ancient POKéMON feeds on microscopic organisms with its toothless mouth.
370,Luvdisc,43,30,55,40,65,97,0.6,8.7,LUVDISC live in shallow seas in the tropics. This heart-shaped POKéMON earned its name by swimming after loving couples it spotted in the ocean’s waves.
371,Bagon,45,75,60,40,30,50,0.6,42.1,"Dreaming of one day flying, it practices by leaping off cliffs every day."
372,Shelgon,65,95,100,60,50,50,1.1,110.5,"Inside SHELGON’s armor-like shell, cells are in the midst of transformation to create an entirely new body. This POKéMON’s shell is extremely heavy, making its movements sluggish."
373,Salamence,95,135,80,110,80,100,1.5,102.6,"SALAMENCE came about as a result of a strong, long-held dream of growing wings. It is said that this powerful desire triggered a sudden mutation in this POKéMON’s cells, causing it to sprout its magnificent wings."
374,Beldum,40,55,80,35,60,30,0.6,95.2,"Instead of blood, a powerful magnetic force courses throughout BELDUM’s body. This POKéMON communicates with others by sending controlled pulses of magnetism."
375,Metang,60,75,100,55,80,50,1.2,202.5,"When two BELDUM fuse together, METANG is formed. The brains of the BELDUM are joined by a magnetic nervous system. By linking its brains magnetically, this POKéMON generates strong psychokinetic power."
376,Metagross,80,135,130,95,90,70,1.6,550.0,"METAGROSS has four brains in total. Combined, the four brains can breeze through difficult calculations faster than a supercomputer. This POKéMON can float in the air by tucking in its four legs."
377,Regirock,80,100,200,50,100,50,1.7,230.0,"Its entire body is made of rock. If any part chips off in battle, it attaches rocks to repair itself."
378,Regice,80,50,100,100,200,50,1.8,175.0,"REGICE’s body was made during an ice age. The deep-frozen body can’t be melted, even by fire. This POKéMON controls frigid air of minus 328 degrees F."
379,Registeel,80,75,150,75,150,50,1.9,205.0,REGISTEEL has a body that is harder than any kind of metal. Its body is apparently hollow. No one has any idea what this POKéMON eats.
380,Latias,80,80,90,110,130,110,1.4,40.0,"LATIAS is highly sensitive to the emotions of people. If it senses any hostility, this POKéMON ruffles the feathers all over its body and cries shrilly to intimidate the foe."
381,Latios,80,90,80,130,110,110,2.0,60.0,LATIOS has the ability to make its foe see an image of what it has seen or imagines in its head. This POKéMON is intelligent and understands human speech.
382,Kyogre,100,100,90,150,140,90,4.5,352.0,KYOGRE has the power to create massive rain clouds that cover the entire sky and bring about torrential downpours. This POKéMON saved people who were suffering from droughts.
383,Groudon,100,150,140,100,90,90,3.5,950.0,GROUDON has long been described in  mythology as the POKéMON that raised lands and expanded continents. This POKéMON took to sleep after a cataclysmic battle with KYOGRE.
384,Rayquaza,105,150,90,150,90,95,7.0,206.5,"RAYQUAZA lived for hundreds of millions of years in the earth’s ozone layer,  never descending to the ground. This POKéMON appears to feed on water and particles in the atmosphere."
385,Jirachi,100,100,100,100,100,100,0.3,1.1,"A legend states that JIRACHI will make true any wish that is written on notes attached to its head when it awakens. If this POKéMON senses danger, it will fight without awakening."
386,Deoxys,50,150,50,150,50,150,1.7,60.8,The DNA of a space virus underwent a sudden mutation upon exposure to a laser beam and resulted in DEOXYS. The crystalline organ on this POKéMON’s chest appears to be its brain.
387,Turtwig,55,68,64,45,55,31,0.4,10.2,"Made from soil, the shell on its back hardens when it drinks water. It lives along lakes."
388,Grotle,75,89,85,55,65,36,1.1,97.0,It knows where pure water wells up. It carries fellow Pokémon there on its back.
389,Torterra,95,109,105,75,85,56,2.2,310.0,Small Pokémon occasionally gather on its unmoving back to begin building their nests.
390,Chimchar,44,58,44,58,44,61,0.5,6.2,It agilely scales sheer cliffs to live atop craggy mountains. Its fire is put out when it sleeps.
